Company_Name,ship_name,built_year,gt,dwt,length,width,Ship_Age,Risk_Level,draft_m
CAPE KORI,Bulk Carrier,2004.0,101933.0,203277,300,50.0,22.0,Medium Risk,18.16385
STAR OPHELIA,Bulk Carrier,2010.0,95047.0,180716,292,45.0,16.0,Low Risk,17.035800000000002
SG FOUNDATION,Bulk Carrier,2009.0,94863.0,180403,295,46.0,17.0,Low Risk,17.02015
RAMBO,Bulk Carrier,2003.0,94779.0,184872,290,47.0,23.0,Medium Risk,17.2436
EVER DEVOTION,Bulk Carrier,2012.0,94710.0,180125,295,46.0,14.0,Low Risk,17.00625
MILLIE,Bulk Carrier,2009.0,94710.0,180311,295,46.0,17.0,Low Risk,17.015549999999998
WANG MAY,Bulk Carrier,2019.0,94528.0,180682,292,45.0,7.0,Low Risk,17.034100000000002
MARIPERLA,Bulk Carrier,2009.0,94232.0,179759,292,45.0,17.0,Low Risk,16.987949999999998
MARIGO P,Bulk Carrier,2016.0,94009.0,179218,292,45.0,10.0,Low Risk,16.960900000000002
HL GLADSTONE,Bulk Carrier,2011.0,93872.0,179851,292,45.0,15.0,Low Risk,16.99255
CAPE CORMORANT,Bulk Carrier,2022.0,93719.0,181500,292,45.0,4.0,Low Risk,17.075
MEYNELL,Bulk Carrier,1997.0,93629.0,185767,292,48.0,29.0,Medium Risk,17.28835
GLOVIS ADVANCE,Bulk Carrier,2012.0,93544.0,179217,292,45.0,14.0,Low Risk,16.96085
HL SALDANHA BAY,Bulk Carrier,2010.0,93461.0,179147,292,45.0,16.0,Low Risk,16.957349999999998
PAROS,Bulk Carrier,2010.0,93360.0,182060,292,45.0,16.0,Low Risk,17.103
GENCO TIGER,Bulk Carrier,2011.0,93290.0,179185,292,45.0,15.0,Low Risk,16.95925
CAPE KEYSTONE,Bulk Carrier,2011.0,93227.0,179250,292,45.0,15.0,Low Risk,16.9625
WINNING SPIRIT,Bulk Carrier,2011.0,93175.0,179213,292,45.0,15.0,Low Risk,16.96065
SEAUNITY,Bulk Carrier,2010.0,93074.0,181360,292,45.0,16.0,Low Risk,17.067999999999998
TRUE CAPTAIN,Bulk Carrier,2016.0,92992.0,180981,292,45.0,10.0,Low Risk,17.04905
EREIKOUSSA,Bulk Carrier,2012.0,92865.0,178896,292,45.0,14.0,Low Risk,16.9448
LAKE D,Bulk Carrier,2011.0,92752.0,181458,292,45.0,15.0,Low Risk,17.0729
KINOKAWA MARU,Bulk Carrier,2013.0,92752.0,181392,292,45.0,13.0,Low Risk,17.0696
BERGE MAWSON,Bulk Carrier,2015.0,92732.0,181160,292,45.0,11.0,Low Risk,17.058
THALASSINI NJORD,Bulk Carrier,2016.0,92696.0,181218,292,45.0,10.0,Low Risk,17.0609
NAVIOS CANARY,Bulk Carrier,2015.0,92379.0,180528,292,45.0,11.0,Low Risk,17.026400000000002
GOLDEN BEIJING,Bulk Carrier,2010.0,92270.0,175820,292,45.0,16.0,Low Risk,16.791
CAPE SUN,Bulk Carrier,2010.0,92050.0,175611,292,45.0,16.0,Low Risk,16.780549999999998
CIC ROLACO,Bulk Carrier,2012.0,91971.0,175641,292,45.0,14.0,Low Risk,16.782049999999998
CAPE SANDRA,Bulk Carrier,2011.0,91910.0,175607,290,45.0,15.0,Low Risk,16.78035
MALINDI,Bulk Carrier,2008.0,91739.0,177987,292,45.0,18.0,Low Risk,16.89935
CAPE SHANGHAI,Bulk Carrier,2012.0,91625.0,176460,292,45.0,14.0,Low Risk,16.823
AFALES,Bulk Carrier,2012.0,91407.0,177935,292,45.0,14.0,Low Risk,16.89675
EDWARD N,Bulk Carrier,2011.0,91374.0,176216,292,45.0,15.0,Low Risk,16.8108
CASTA DIVA,Bulk Carrier,2011.0,91373.0,177807,292,45.0,15.0,Low Risk,16.890349999999998
LILA NINGBO,Bulk Carrier,2002.0,91178.0,175775,282,45.0,24.0,Medium Risk,16.78875
BAO CHANG HAI,Bulk Carrier,1990.0,90633.0,173329,290,46.0,36.0,High Risk,16.666449999999998
HONORSHIP,Bulk Carrier,2010.0,90423.0,180242,289,45.0,16.0,Low Risk,17.0121
MARAN TRANSPORTER,Bulk Carrier,2010.0,90136.0,179719,292,45.0,16.0,Low Risk,16.985950000000003
MARAN ASTRONOMER,Bulk Carrier,2012.0,90104.0,179719,292,45.0,14.0,Low Risk,16.985950000000003
WINNING LOYALTY,Bulk Carrier,2004.0,90091.0,180310,289,45.0,22.0,Medium Risk,17.0155
BRAVE SAILOR,Bulk Carrier,2011.0,89991.0,176283,292,45.0,15.0,Low Risk,16.814149999999998
Standard Handysize,Bulk Carrier,,,35000,180,30.0,,,10.0
Standard Supramax,Bulk Carrier,,,55000,190,32.5,,,12.0
Standard Panamax,Bulk Carrier,,,75000,229,32.2,,,13.5
