date,coking_coal_usd_per_tonne
2023-10-31,147.77
2023-11-01,148.07
2023-11-02,148.49
2023-11-03,150.27
2023-11-04,150.4
2023-11-05,150.38
2023-11-06,149.69
2023-11-07,151.37
2023-11-08,154.6
2023-11-09,154.97
2023-11-10,152.38
2023-11-11,155.6
2023-11-12,156.39
2023-11-13,158.76
2023-11-14,159.91
2023-11-15,157.27
2023-11-16,157.91
2023-11-17,159.75
2023-11-18,163.06
2023-11-19,165.65
2023-11-20,164.28
2023-11-21,165.05
2023-11-22,166.35
2023-11-23,161.34
2023-11-24,160.9
2023-11-25,162.41
2023-11-26,161.1
2023-11-27,164.29
2023-11-28,167.64
2023-11-29,168.13
2023-11-30,164.51
2023-12-01,164.34
2023-12-02,164.94
2023-12-03,167.44
2023-12-04,167.65
2023-12-05,168.18
2023-12-06,169.8
2023-12-07,172.58
2023-12-08,170.56
2023-12-09,177.73
2023-12-10,175.58
2023-12-11,178.14
2023-12-12,179.07
2023-12-13,174.45
2023-12-14,173.66
2023-12-15,174.24
2023-12-16,174.15
2023-12-17,176.05
2023-12-18,170.17
2023-12-19,164.98
2023-12-20,165.17
2023-12-21,164.3
2023-12-22,163.16
2023-12-23,166.01
2023-12-24,165.01
2023-12-25,163.88
2023-12-26,169.34
2023-12-27,165.69
2023-12-28,166.22
2023-12-29,167.7
2023-12-30,167.33
2023-12-31,168.19
2024-01-01,166.2
2024-01-02,164.37
2024-01-03,162.39
2024-01-04,160.05
2024-01-05,160.89
2024-01-06,157.01
2024-01-07,153.44
2024-01-08,148.74
2024-01-09,147.77
2024-01-10,150.21
2024-01-11,148.6
2024-01-12,149.38
2024-01-13,149.22
2024-01-14,154.16
2024-01-15,152.98
2024-01-16,156.76
2024-01-17,157.6
2024-01-18,158.46
2024-01-19,159.05
2024-01-20,163.94
2024-01-21,168.42
2024-01-22,168.39
2024-01-23,167.94
2024-01-24,164.09
2024-01-25,163.74
2024-01-26,168.36
2024-01-27,171.22
2024-01-28,171.73
2024-01-29,167.54
2024-01-30,166.67
2024-01-31,163.61
2024-02-01,161.83
2024-02-02,160.49
2024-02-03,161.92
2024-02-04,164.57
2024-02-05,165.65
2024-02-06,166.58
2024-02-07,169.92
2024-02-08,168.18
2024-02-09,165.73
2024-02-10,167.65
2024-02-11,168.63
2024-02-12,168.93
2024-02-13,165.91
2024-02-14,168.76
2024-02-15,170.24
2024-02-16,174.22
2024-02-17,172.33
2024-02-18,174.12
2024-02-19,173.19
2024-02-20,169.89
2024-02-21,167.68
2024-02-22,168.09
2024-02-23,166.04
2024-02-24,164.57
2024-02-25,166.3
2024-02-26,168.61
2024-02-27,166.74
2024-02-28,172.1
2024-02-29,174.13
2024-03-01,166.75
2024-03-02,167.48
2024-03-03,170.32
2024-03-04,167.92
2024-03-05,169.9
2024-03-06,175.32
2024-03-07,173.97
2024-03-08,174.15
2024-03-09,168.85
2024-03-10,169.64
2024-03-11,172.48
2024-03-12,175.68
2024-03-13,170.19
2024-03-14,173.26
2024-03-15,174.18
2024-03-16,175.4
2024-03-17,177.01
2024-03-18,176.69
2024-03-19,175.45
2024-03-20,179.73
2024-03-21,175.05
2024-03-22,178.65
2024-03-23,181.81
2024-03-24,179.51
2024-03-25,173.98
2024-03-26,173.55
2024-03-27,173.51
2024-03-28,170.2
2024-03-29,164.06
2024-03-30,162.52
2024-03-31,158.0
2024-04-01,157.06
2024-04-02,156.44
2024-04-03,157.33
2024-04-04,156.89
2024-04-05,159.53
2024-04-06,156.16
2024-04-07,157.1
2024-04-08,156.65
2024-04-09,159.66
2024-04-10,158.74
2024-04-11,160.96
2024-04-12,161.26
2024-04-13,160.34
2024-04-14,157.05
2024-04-15,154.47
2024-04-16,153.98
2024-04-17,153.59
2024-04-18,154.87
2024-04-19,157.93
2024-04-20,161.96
2024-04-21,162.83
2024-04-22,158.9
2024-04-23,156.62
2024-04-24,154.09
2024-04-25,149.46
2024-04-26,154.94
2024-04-27,150.22
2024-04-28,146.9
2024-04-29,144.97
2024-04-30,147.53
2024-05-01,149.49
2024-05-02,145.19
2024-05-03,142.8
2024-05-04,142.43
2024-05-05,139.38
2024-05-06,141.49
2024-05-07,135.36
2024-05-08,137.77
2024-05-09,139.53
2024-05-10,141.01
2024-05-11,140.36
2024-05-12,144.76
2024-05-13,140.65
2024-05-14,136.74
2024-05-15,143.04
2024-05-16,143.3
2024-05-17,146.4
2024-05-18,144.28
2024-05-19,142.93
2024-05-20,148.36
2024-05-21,149.75
2024-05-22,151.53
2024-05-23,151.13
2024-05-24,149.18
2024-05-25,151.8
2024-05-26,150.68
2024-05-27,149.68
2024-05-28,149.02
2024-05-29,149.35
2024-05-30,147.4
2024-05-31,145.1
2024-06-01,143.73
2024-06-02,142.14
2024-06-03,135.25
2024-06-04,139.5
2024-06-05,140.31
2024-06-06,138.87
2024-06-07,141.95
2024-06-08,137.96
2024-06-09,139.65
2024-06-10,139.39
2024-06-11,138.84
2024-06-12,137.79
2024-06-13,140.59
2024-06-14,140.03
2024-06-15,140.29
2024-06-16,144.91
2024-06-17,145.43
2024-06-18,144.62
2024-06-19,144.86
2024-06-20,146.62
2024-06-21,144.05
2024-06-22,146.33
2024-06-23,145.29
2024-06-24,146.54
2024-06-25,147.67
2024-06-26,147.29
2024-06-27,148.69
2024-06-28,150.46
2024-06-29,148.3
2024-06-30,146.14
2024-07-01,148.63
2024-07-02,149.7
2024-07-03,147.31
2024-07-04,147.85
2024-07-05,145.07
2024-07-06,145.23
2024-07-07,141.91
2024-07-08,137.25
2024-07-09,137.41
2024-07-10,142.6
2024-07-11,142.0
2024-07-12,141.17
2024-07-13,142.7
2024-07-14,145.92
2024-07-15,146.7
2024-07-16,148.89
2024-07-17,149.66
2024-07-18,151.94
2024-07-19,151.41
2024-07-20,154.26
2024-07-21,155.45
2024-07-22,150.99
2024-07-23,152.54
2024-07-24,156.57
2024-07-25,157.55
2024-07-26,156.28
2024-07-27,161.13
2024-07-28,160.96
2024-07-29,159.79
2024-07-30,160.32
2024-07-31,162.51
2024-08-01,161.07
2024-08-02,160.77
2024-08-03,162.82
2024-08-04,161.45
2024-08-05,162.09
2024-08-06,160.65
2024-08-07,161.21
2024-08-08,156.6
2024-08-09,153.78
2024-08-10,151.23
2024-08-11,152.05
2024-08-12,153.76
2024-08-13,153.27
2024-08-14,149.34
2024-08-15,153.63
2024-08-16,153.67
2024-08-17,156.35
2024-08-18,159.08
2024-08-19,155.44
2024-08-20,153.71
2024-08-21,157.6
2024-08-22,157.35
2024-08-23,157.78
2024-08-24,158.7
2024-08-25,159.61
2024-08-26,158.98
2024-08-27,156.79
2024-08-28,155.22
2024-08-29,156.48
2024-08-30,153.27
2024-08-31,150.22
2024-09-01,149.23
2024-09-02,147.57
2024-09-03,148.49
2024-09-04,153.69
2024-09-05,155.06
2024-09-06,154.28
2024-09-07,147.39
2024-09-08,147.22
2024-09-09,145.32
2024-09-10,147.61
2024-09-11,145.44
2024-09-12,143.05
2024-09-13,144.65
2024-09-14,143.64
2024-09-15,143.08
2024-09-16,141.25
2024-09-17,143.19
2024-09-18,141.0
2024-09-19,141.79
2024-09-20,137.4
2024-09-21,135.66
2024-09-22,137.39
2024-09-23,139.02
2024-09-24,137.92
2024-09-25,139.46
2024-09-26,140.26
2024-09-27,141.05
2024-09-28,139.21
2024-09-29,137.24
2024-09-30,136.36
2024-10-01,135.46
2024-10-02,135.22
2024-10-03,136.51
2024-10-04,136.31
2024-10-05,135.72
2024-10-06,136.17
2024-10-07,141.45
2024-10-08,140.57
2024-10-09,139.17
2024-10-10,139.88
2024-10-11,140.33
2024-10-12,141.61
2024-10-13,144.04
2024-10-14,139.19
2024-10-15,144.88
2024-10-16,146.14
2024-10-17,147.46
2024-10-18,147.29
2024-10-19,146.15
2024-10-20,147.06
2024-10-21,145.43
2024-10-22,145.39
2024-10-23,141.84
2024-10-24,139.21
2024-10-25,143.15
2024-10-26,144.55
2024-10-27,145.01
2024-10-28,142.47
2024-10-29,145.28
2024-10-30,141.74
2024-10-31,138.62
2024-11-01,136.34
2024-11-02,136.22
2024-11-03,136.84
2024-11-04,137.37
2024-11-05,135.49
2024-11-06,136.93
2024-11-07,144.51
2024-11-08,137.97
2024-11-09,136.66
2024-11-10,133.74
2024-11-11,131.2
2024-11-12,129.15
2024-11-13,125.06
2024-11-14,123.08
2024-11-15,123.79
2024-11-16,125.6
2024-11-17,121.46
2024-11-18,125.97
2024-11-19,120.9
2024-11-20,116.38
2024-11-21,117.69
2024-11-22,122.43
2024-11-23,124.92
2024-11-24,123.31
2024-11-25,126.4
2024-11-26,125.97
2024-11-27,122.44
2024-11-28,117.8
2024-11-29,121.98
2024-11-30,119.07
2024-12-01,116.55
2024-12-02,116.37
2024-12-03,113.16
2024-12-04,116.75
2024-12-05,115.92
2024-12-06,116.58
2024-12-07,116.11
2024-12-08,118.97
2024-12-09,116.91
2024-12-10,118.7
2024-12-11,121.25
2024-12-12,121.01
2024-12-13,123.12
2024-12-14,123.11
2024-12-15,126.14
2024-12-16,121.94
2024-12-17,119.48
2024-12-18,119.31
2024-12-19,113.99
2024-12-20,113.52
2024-12-21,113.03
2024-12-22,110.07
2024-12-23,108.05
2024-12-24,106.32
2024-12-25,107.8
2024-12-26,109.6
2024-12-27,107.29
2024-12-28,111.33
2024-12-29,113.28
2024-12-30,110.4
2024-12-31,113.18
2025-01-01,111.41
2025-01-02,114.0
2025-01-03,114.22
2025-01-04,114.21
2025-01-05,116.84
2025-01-06,117.42
2025-01-07,118.57
2025-01-08,116.77
2025-01-09,117.55
2025-01-10,115.87
2025-01-11,114.81
2025-01-12,114.39
2025-01-13,114.41
2025-01-14,113.85
2025-01-15,112.95
2025-01-16,114.3
2025-01-17,114.47
2025-01-18,115.79
2025-01-19,120.98
2025-01-20,124.18
2025-01-21,122.92
2025-01-22,121.59
2025-01-23,121.67
2025-01-24,125.21
2025-01-25,127.27
2025-01-26,130.22
2025-01-27,127.83
2025-01-28,128.44
2025-01-29,133.93
2025-01-30,132.43
2025-01-31,130.86
2025-02-01,128.82
2025-02-02,132.22
2025-02-03,128.34
2025-02-04,127.25
2025-02-05,128.53
2025-02-06,127.61
2025-02-07,127.46
2025-02-08,128.51
2025-02-09,129.55
2025-02-10,130.6
2025-02-11,131.96
2025-02-12,133.0
2025-02-13,136.33
2025-02-14,133.71
2025-02-15,133.92
2025-02-16,130.3
2025-02-17,127.47
2025-02-18,128.47
2025-02-19,128.1
2025-02-20,128.19
2025-02-21,131.2
2025-02-22,132.84
2025-02-23,131.11
2025-02-24,130.23
2025-02-25,131.85
2025-02-26,126.96
2025-02-27,124.75
2025-02-28,125.05
2025-03-01,125.86
2025-03-02,127.02
2025-03-03,129.12
2025-03-04,132.54
2025-03-05,132.84
2025-03-06,130.52
2025-03-07,130.22
2025-03-08,128.31
2025-03-09,127.21
2025-03-10,127.6
2025-03-11,132.45
2025-03-12,132.58
2025-03-13,129.02
2025-03-14,126.25
2025-03-15,130.65
2025-03-16,134.69
2025-03-17,131.07
2025-03-18,135.48
2025-03-19,137.5
2025-03-20,131.84
2025-03-21,132.46
2025-03-22,129.37
2025-03-23,126.3
2025-03-24,126.24
2025-03-25,124.56
2025-03-26,123.26
2025-03-27,127.81
2025-03-28,126.81
2025-03-29,125.23
2025-03-30,124.08
2025-03-31,128.79
2025-04-01,130.56
2025-04-02,130.74
2025-04-03,131.93
2025-04-04,129.16
2025-04-05,135.47
2025-04-06,134.66
2025-04-07,139.02
2025-04-08,140.16
2025-04-09,139.92
2025-04-10,140.15
2025-04-11,139.79
2025-04-12,141.47
2025-04-13,141.44
2025-04-14,139.67
2025-04-15,140.13
2025-04-16,141.05
2025-04-17,141.0
2025-04-18,137.68
2025-04-19,133.93
2025-04-20,133.78
2025-04-21,130.99
2025-04-22,133.33
2025-04-23,131.25
2025-04-24,132.74
2025-04-25,130.48
2025-04-26,131.93
2025-04-27,131.41
2025-04-28,133.63
2025-04-29,133.86
2025-04-30,132.99
2025-05-01,133.57
2025-05-02,130.31
2025-05-03,133.77
2025-05-04,132.34
2025-05-05,131.87
2025-05-06,130.33
2025-05-07,131.99
2025-05-08,132.97
2025-05-09,136.33
2025-05-10,133.71
2025-05-11,132.22
2025-05-12,130.78
2025-05-13,133.01
2025-05-14,133.75
2025-05-15,130.29
2025-05-16,133.05
2025-05-17,131.67
2025-05-18,130.31
2025-05-19,130.93
2025-05-20,132.5
2025-05-21,133.64
2025-05-22,131.64
2025-05-23,131.77
2025-05-24,135.32
2025-05-25,134.83
2025-05-26,136.54
2025-05-27,133.09
2025-05-28,134.87
2025-05-29,133.56
2025-05-30,132.22
2025-05-31,131.66
2025-06-01,130.06
2025-06-02,130.13
2025-06-03,129.96
2025-06-04,126.02
2025-06-05,124.32
2025-06-06,126.85
2025-06-07,125.17
2025-06-08,124.23
2025-06-09,126.47
2025-06-10,132.44
2025-06-11,127.69
2025-06-12,126.7
2025-06-13,128.78
2025-06-14,130.11
2025-06-15,127.85
2025-06-16,128.2
2025-06-17,126.35
2025-06-18,124.14
2025-06-19,120.45
2025-06-20,117.2
2025-06-21,117.5
2025-06-22,117.88
2025-06-23,114.86
2025-06-24,113.46
2025-06-25,113.86
2025-06-26,115.56
2025-06-27,120.04
2025-06-28,122.56
2025-06-29,126.15
2025-06-30,129.54
2025-07-01,125.84
2025-07-02,127.59
2025-07-03,123.97
2025-07-04,125.79
2025-07-05,125.38
2025-07-06,127.31
2025-07-07,127.08
2025-07-08,129.08
2025-07-09,129.28
2025-07-10,131.38
2025-07-11,128.16
2025-07-12,126.39
2025-07-13,123.47
2025-07-14,122.29
2025-07-15,122.29
2025-07-16,122.25
2025-07-17,117.32
2025-07-18,117.86
2025-07-19,120.86
2025-07-20,121.9
2025-07-21,118.6
2025-07-22,119.99
2025-07-23,121.53
2025-07-24,119.32
2025-07-25,120.49
2025-07-26,122.52
2025-07-27,121.77
2025-07-28,120.16
2025-07-29,123.01
2025-07-30,125.45
2025-07-31,120.7
2025-08-01,119.86
2025-08-02,119.04
2025-08-03,117.12
2025-08-04,119.85
2025-08-05,120.7
2025-08-06,120.14
2025-08-07,119.82
2025-08-08,120.07
2025-08-09,121.04
2025-08-10,119.97
2025-08-11,118.45
2025-08-12,119.61
2025-08-13,119.42
2025-08-14,118.97
2025-08-15,116.54
2025-08-16,117.04
2025-08-17,117.05
2025-08-18,116.75
2025-08-19,113.37
2025-08-20,116.85
2025-08-21,117.37
2025-08-22,118.01
2025-08-23,121.45
2025-08-24,121.66
2025-08-25,121.83
2025-08-26,123.0
2025-08-27,125.82
2025-08-28,123.22
2025-08-29,129.11
2025-08-30,128.82
2025-08-31,126.56
2025-09-01,124.47
2025-09-02,129.72
2025-09-03,125.85
2025-09-04,124.6
2025-09-05,121.52
2025-09-06,120.15
2025-09-07,120.65
2025-09-08,119.71
2025-09-09,120.13
2025-09-10,124.9
2025-09-11,125.3
2025-09-12,123.43
2025-09-13,122.13
2025-09-14,123.64
2025-09-15,120.63
2025-09-16,123.95
2025-09-17,124.64
2025-09-18,125.25
2025-09-19,124.78
2025-09-20,126.16
2025-09-21,128.45
2025-09-22,126.8
2025-09-23,129.69
2025-09-24,124.52
2025-09-25,122.2
2025-09-26,118.99
2025-09-27,117.65
2025-09-28,118.91
2025-09-29,124.85
2025-09-30,127.6
2025-10-01,128.56
2025-10-02,126.48
2025-10-03,127.95
2025-10-04,125.41
2025-10-05,129.4
2025-10-06,125.57
2025-10-07,126.13
2025-10-08,126.15
2025-10-09,125.72
2025-10-10,124.98
2025-10-11,128.59
2025-10-12,129.73
2025-10-13,128.08
2025-10-14,127.1
2025-10-15,125.89
2025-10-16,126.77
2025-10-17,121.58
2025-10-18,119.55
2025-10-19,118.94
2025-10-20,114.87
2025-10-21,114.72
2025-10-22,113.9
2025-10-23,119.78
2025-10-24,121.85
2025-10-25,116.95
2025-10-26,122.2
2025-10-27,120.14
2025-10-28,120.6
2025-10-29,120.93
2025-10-30,122.04
2025-10-31,118.12
2025-11-01,118.19
2025-11-02,121.71
2025-11-03,118.44
2025-11-04,119.66
2025-11-05,120.81
2025-11-06,120.88
2025-11-07,118.06
2025-11-08,120.64
2025-11-09,123.39
2025-11-10,121.35
2025-11-11,121.19
2025-11-12,125.72
2025-11-13,127.39
2025-11-14,127.45
2025-11-15,125.37
2025-11-16,125.79
2025-11-17,122.48
2025-11-18,124.6
2025-11-19,125.95
2025-11-20,123.34
2025-11-21,120.21
2025-11-22,119.32
2025-11-23,122.85
2025-11-24,124.51
2025-11-25,124.63
2025-11-26,124.68
2025-11-27,126.01
2025-11-28,122.68
2025-11-29,121.99
2025-11-30,118.8
2025-12-01,121.9
2025-12-02,123.29
2025-12-03,120.71
2025-12-04,117.68
2025-12-05,119.2
2025-12-06,116.6
2025-12-07,118.97
2025-12-08,119.89
2025-12-09,121.94
2025-12-10,122.82
2025-12-11,124.25
2025-12-12,127.27
2025-12-13,126.2
2025-12-14,129.97
2025-12-15,132.28
2025-12-16,127.74
2025-12-17,127.33
2025-12-18,127.67
2025-12-19,126.97
2025-12-20,129.95
2025-12-21,129.58
2025-12-22,131.14
2025-12-23,130.76
2025-12-24,128.15
2025-12-25,123.09
2025-12-26,119.9
2025-12-27,122.8
2025-12-28,120.86
2025-12-29,119.05
2025-12-30,116.09
