date,vessel_type,origin_country,freight_rate_usd_per_tonne,bunker_price_usd_per_tonne_ifo380,port_congestion_index
2023-02-27,Handysize,Australia,10.29,467.0,0.614
2023-02-28,Handysize,Australia,10.36,477.7,0.81
2023-03-01,Handysize,Australia,10.42,451.6,0.526
2023-03-02,Handysize,Australia,10.31,465.7,0.451
2023-03-03,Handysize,Australia,10.22,480.4,0.584
2023-03-04,Handysize,Australia,10.67,462.8,0.447
2023-03-05,Handysize,Australia,10.79,470.6,0.61
2023-03-06,Handysize,Australia,10.99,494.1,0.55
2023-03-07,Handysize,Australia,11.18,482.4,0.771
2023-03-08,Handysize,Australia,11.28,478.5,0.671
2023-03-09,Handysize,Australia,11.36,461.8,0.371
2023-03-10,Handysize,Australia,11.27,470.5,0.271
2023-03-11,Handysize,Australia,11.49,495.8,0.357
2023-03-12,Handysize,Australia,11.48,447.0,0.349
2023-03-13,Handysize,Australia,11.73,471.7,0.431
2023-03-14,Handysize,Australia,11.28,494.2,0.788
2023-03-15,Handysize,Australia,11.61,468.2,0.427
2023-03-16,Handysize,Australia,11.64,490.0,0.625
2023-03-17,Handysize,Australia,11.41,464.9,0.31
2023-03-18,Handysize,Australia,10.91,473.4,0.424
2023-03-19,Handysize,Australia,10.86,480.8,0.495
2023-03-20,Handysize,Australia,10.61,424.7,0.683
2023-03-21,Handysize,Australia,11.05,502.7,0.576
2023-03-22,Handysize,Australia,11.24,483.2,0.525
2023-03-23,Handysize,Australia,11.25,468.5,0.314
2023-03-24,Handysize,Australia,11.26,458.8,0.585
2023-03-25,Handysize,Australia,10.97,471.9,0.588
2023-03-26,Handysize,Australia,10.63,493.0,0.496
2023-03-27,Handysize,Australia,11.02,462.0,0.646
2023-03-28,Handysize,Australia,10.71,471.3,0.739
2023-03-29,Handysize,Australia,10.35,487.6,0.604
2023-03-30,Handysize,Australia,10.16,489.6,0.442
2023-03-31,Handysize,Australia,9.71,440.0,0.697
2023-04-01,Handysize,Australia,9.75,484.6,0.486
2023-04-02,Handysize,Australia,9.76,476.5,0.57
2023-04-03,Handysize,Australia,9.65,464.8,0.744
2023-04-04,Handysize,Australia,9.55,466.5,0.494
2023-04-05,Handysize,Australia,9.67,464.3,0.327
2023-04-06,Handysize,Australia,9.6,460.3,0.415
2023-04-07,Handysize,Australia,9.98,458.1,0.434
2023-04-08,Handysize,Australia,9.92,478.9,0.629
2023-04-09,Handysize,Australia,9.97,496.6,0.486
2023-04-10,Handysize,Australia,9.77,486.5,0.532
2023-04-11,Handysize,Australia,9.68,503.2,0.573
2023-04-12,Handysize,Australia,9.95,487.1,0.822
2023-04-13,Handysize,Australia,10.01,494.3,0.674
2023-04-14,Handysize,Australia,10.2,471.4,0.439
2023-04-15,Handysize,Australia,10.04,472.7,0.588
2023-04-16,Handysize,Australia,10.16,430.9,0.498
2023-04-17,Handysize,Australia,10.37,474.8,0.601
2023-04-18,Handysize,Australia,10.65,504.6,0.481
2023-04-19,Handysize,Australia,10.69,484.6,0.781
2023-04-20,Handysize,Australia,10.95,487.9,0.472
2023-04-21,Handysize,Australia,11.12,482.9,0.574
2023-04-22,Handysize,Australia,10.74,481.8,0.754
2023-04-23,Handysize,Australia,10.76,477.8,0.37
2023-04-24,Handysize,Australia,10.65,492.5,0.233
2023-04-25,Handysize,Australia,10.3,508.0,0.407
2023-04-26,Handysize,Australia,10.43,500.7,0.508
2023-04-27,Handysize,Australia,10.46,491.3,0.636
2023-04-28,Handysize,Australia,10.36,482.8,0.533
2023-04-29,Handysize,Australia,9.95,494.3,0.362
2023-04-30,Handysize,Australia,9.75,516.3,0.516
2023-05-01,Handysize,Australia,9.69,471.2,0.573
2023-05-02,Handysize,Australia,9.55,499.4,0.557
2023-05-03,Handysize,Australia,9.61,511.6,0.509
2023-05-04,Handysize,Australia,9.65,493.9,0.429
2023-05-05,Handysize,Australia,9.6,501.7,0.417
2023-05-06,Handysize,Australia,9.57,492.3,0.354
2023-05-07,Handysize,Australia,9.6,475.5,0.442
2023-05-08,Handysize,Australia,9.38,509.1,0.352
2023-05-09,Handysize,Australia,9.72,497.5,0.861
2023-05-10,Handysize,Australia,10.01,466.6,0.378
2023-05-11,Handysize,Australia,9.73,498.6,0.237
2023-05-12,Handysize,Australia,9.74,486.8,0.207
2023-05-13,Handysize,Australia,9.79,503.8,0.548
2023-05-14,Handysize,Australia,9.89,498.9,0.674
2023-05-15,Handysize,Australia,10.15,489.4,0.413
2023-05-16,Handysize,Australia,10.28,518.6,0.59
2023-05-17,Handysize,Australia,10.28,478.0,0.52
2023-05-18,Handysize,Australia,10.37,480.2,0.229
2023-05-19,Handysize,Australia,10.09,495.1,0.463
2023-05-20,Handysize,Australia,10.14,527.7,0.459
2023-05-21,Handysize,Australia,10.03,514.7,0.474
2023-05-22,Handysize,Australia,9.79,501.0,0.625
2023-05-23,Handysize,Australia,9.91,499.7,0.464
2023-05-24,Handysize,Australia,9.78,488.7,0.641
2023-05-25,Handysize,Australia,9.7,521.6,0.633
2023-05-26,Handysize,Australia,9.77,458.4,0.776
2023-05-27,Handysize,Australia,9.54,469.3,0.438
2023-05-28,Handysize,Australia,9.57,459.4,0.765
2023-05-29,Handysize,Australia,9.77,510.3,0.805
2023-05-30,Handysize,Australia,9.78,508.7,0.658
2023-05-31,Handysize,Australia,9.92,480.8,0.796
2023-06-01,Handysize,Australia,9.91,461.0,0.651
2023-06-02,Handysize,Australia,9.91,532.4,0.396
2023-06-03,Handysize,Australia,10.49,515.0,0.849
2023-06-04,Handysize,Australia,10.7,500.7,0.532
2023-06-05,Handysize,Australia,10.73,470.3,0.458
2023-06-06,Handysize,Australia,10.64,489.1,0.645
2023-06-07,Handysize,Australia,10.92,486.9,0.743
2023-06-08,Handysize,Australia,10.81,489.1,0.487
2023-06-09,Handysize,Australia,10.69,477.8,0.382
2023-06-10,Handysize,Australia,10.35,517.8,0.427
2023-06-11,Handysize,Australia,10.45,483.1,0.583
2023-06-12,Handysize,Australia,10.12,455.2,0.57
2023-06-13,Handysize,Australia,10.26,494.3,0.593
2023-06-14,Handysize,Australia,10.44,486.9,0.409
2023-06-15,Handysize,Australia,10.28,504.3,0.547
2023-06-16,Handysize,Australia,10.47,500.5,0.343
2023-06-17,Handysize,Australia,10.48,485.0,0.302
2023-06-18,Handysize,Australia,10.34,515.1,0.882
2023-06-19,Handysize,Australia,10.2,503.0,0.718
2023-06-20,Handysize,Australia,10.23,525.9,0.312
2023-06-21,Handysize,Australia,10.76,493.5,0.578
2023-06-22,Handysize,Australia,10.75,496.2,0.618
2023-06-23,Handysize,Australia,10.66,517.5,0.215
2023-06-24,Handysize,Australia,10.63,478.2,0.284
2023-06-25,Handysize,Australia,10.8,501.7,0.686
2023-06-26,Handysize,Australia,11.01,506.1,0.498
2023-06-27,Handysize,Australia,10.76,503.4,0.431
2023-06-28,Handysize,Australia,10.79,513.2,0.617
2023-06-29,Handysize,Australia,10.8,515.4,0.461
2023-06-30,Handysize,Australia,11.0,490.4,0.679
2023-07-01,Handysize,Australia,10.87,503.2,0.389
2023-07-02,Handysize,Australia,10.56,499.0,0.877
2023-07-03,Handysize,Australia,9.96,489.1,0.777
2023-07-04,Handysize,Australia,9.74,529.0,0.699
2023-07-05,Handysize,Australia,9.95,521.6,0.552
2023-07-06,Handysize,Australia,9.9,491.4,0.804
2023-07-07,Handysize,Australia,9.87,495.3,0.434
2023-07-08,Handysize,Australia,9.67,514.5,0.515
2023-07-09,Handysize,Australia,10.11,497.2,0.701
2023-07-10,Handysize,Australia,9.72,487.4,0.551
2023-07-11,Handysize,Australia,9.65,499.0,0.709
2023-07-12,Handysize,Australia,9.79,525.1,0.508
2023-07-13,Handysize,Australia,9.88,501.9,0.358
2023-07-14,Handysize,Australia,9.61,505.0,0.56
2023-07-15,Handysize,Australia,9.64,508.6,0.367
2023-07-16,Handysize,Australia,9.38,483.2,0.771
2023-07-17,Handysize,Australia,9.23,491.4,0.511
2023-07-18,Handysize,Australia,9.42,494.6,0.554
2023-07-19,Handysize,Australia,9.8,522.9,0.624
2023-07-20,Handysize,Australia,9.79,503.9,0.559
2023-07-21,Handysize,Australia,9.91,506.1,0.461
2023-07-22,Handysize,Australia,9.64,543.2,0.407
2023-07-23,Handysize,Australia,9.55,501.3,0.493
2023-07-24,Handysize,Australia,9.67,516.2,0.505
2023-07-25,Handysize,Australia,9.52,524.7,0.709
2023-07-26,Handysize,Australia,9.34,545.8,0.525
2023-07-27,Handysize,Australia,9.53,526.4,0.226
2023-07-28,Handysize,Australia,9.92,512.2,0.533
2023-07-29,Handysize,Australia,10.24,501.8,0.659
2023-07-30,Handysize,Australia,10.12,487.4,0.898
2023-07-31,Handysize,Australia,9.96,493.2,0.477
2023-08-01,Handysize,Australia,10.27,508.0,0.505
2023-08-02,Handysize,Australia,10.21,512.4,0.617
2023-08-03,Handysize,Australia,10.26,501.9,0.361
2023-08-04,Handysize,Australia,10.17,496.1,0.623
2023-08-05,Handysize,Australia,10.3,509.0,0.479
2023-08-06,Handysize,Australia,10.13,515.3,0.425
2023-08-07,Handysize,Australia,10.07,498.6,0.569
2023-08-08,Handysize,Australia,10.14,507.7,0.273
2023-08-09,Handysize,Australia,9.77,509.1,0.222
2023-08-10,Handysize,Australia,10.37,505.2,0.637
2023-08-11,Handysize,Australia,9.88,493.4,0.467
2023-08-12,Handysize,Australia,9.51,514.3,0.462
2023-08-13,Handysize,Australia,9.3,494.0,0.498
2023-08-14,Handysize,Australia,9.16,507.6,0.644
2023-08-15,Handysize,Australia,9.53,519.4,0.654
2023-08-16,Handysize,Australia,9.54,523.7,0.497
2023-08-17,Handysize,Australia,9.47,503.2,0.31
2023-08-18,Handysize,Australia,9.3,512.1,0.39
2023-08-19,Handysize,Australia,9.5,506.0,0.517
2023-08-20,Handysize,Australia,9.45,495.4,0.611
2023-08-21,Handysize,Australia,9.39,498.7,0.331
2023-08-22,Handysize,Australia,9.4,501.9,0.378
2023-08-23,Handysize,Australia,9.62,504.3,0.3
2023-08-24,Handysize,Australia,9.52,499.6,0.55
2023-08-25,Handysize,Australia,9.65,522.6,0.37
2023-08-26,Handysize,Australia,9.62,499.3,0.76
2023-08-27,Handysize,Australia,9.26,528.9,0.642
2023-08-28,Handysize,Australia,9.16,518.4,0.463
2023-08-29,Handysize,Australia,9.17,525.8,0.387
2023-08-30,Handysize,Australia,9.34,497.5,0.577
2023-08-31,Handysize,Australia,8.96,500.0,0.64
2023-09-01,Handysize,Australia,8.78,513.8,0.421
2023-09-02,Handysize,Australia,8.56,547.1,0.28
2023-09-03,Handysize,Australia,8.61,533.1,0.089
2023-09-04,Handysize,Australia,8.49,522.8,0.435
2023-09-05,Handysize,Australia,8.25,487.4,0.549
2023-09-06,Handysize,Australia,8.16,501.9,0.258
2023-09-07,Handysize,Australia,8.41,513.4,0.449
2023-09-08,Handysize,Australia,8.82,503.2,0.503
2023-09-09,Handysize,Australia,8.82,527.3,0.563
2023-09-10,Handysize,Australia,8.88,516.2,0.357
2023-09-11,Handysize,Australia,8.97,504.3,0.456
2023-09-12,Handysize,Australia,8.85,492.0,0.456
2023-09-13,Handysize,Australia,8.7,488.5,0.279
2023-09-14,Handysize,Australia,8.84,494.7,0.497
2023-09-15,Handysize,Australia,8.87,512.5,0.574
2023-09-16,Handysize,Australia,8.57,522.4,0.631
2023-09-17,Handysize,Australia,8.7,541.2,0.408
2023-09-18,Handysize,Australia,8.98,516.5,0.351
2023-09-19,Handysize,Australia,8.97,534.8,0.367
2023-09-20,Handysize,Australia,8.92,542.1,0.201
2023-09-21,Handysize,Australia,9.13,518.2,0.489
2023-09-22,Handysize,Australia,9.23,479.7,0.305
2023-09-23,Handysize,Australia,9.22,503.5,0.218
2023-09-24,Handysize,Australia,9.14,515.0,0.414
2023-09-25,Handysize,Australia,9.24,530.5,0.54
2023-09-26,Handysize,Australia,9.85,515.0,0.813
2023-09-27,Handysize,Australia,9.9,533.4,0.191
2023-09-28,Handysize,Australia,9.99,526.9,0.23
2023-09-29,Handysize,Australia,9.66,502.5,0.513
2023-09-30,Handysize,Australia,9.97,486.8,0.21
2023-10-01,Handysize,Australia,10.24,499.4,0.395
2023-10-02,Handysize,Australia,10.17,497.2,0.646
2023-10-03,Handysize,Australia,10.51,514.0,0.306
2023-10-04,Handysize,Australia,10.69,505.5,0.414
2023-10-05,Handysize,Australia,10.63,488.9,0.327
2023-10-06,Handysize,Australia,10.57,524.9,0.319
2023-10-07,Handysize,Australia,10.14,507.5,0.234
2023-10-08,Handysize,Australia,9.87,487.3,0.159
2023-10-09,Handysize,Australia,10.09,520.6,0.548
2023-10-10,Handysize,Australia,10.11,526.3,0.324
2023-10-11,Handysize,Australia,10.1,505.2,0.332
2023-10-12,Handysize,Australia,9.83,519.4,0.427
2023-10-13,Handysize,Australia,9.64,502.8,0.028
2023-10-14,Handysize,Australia,9.65,516.0,0.417
2023-10-15,Handysize,Australia,9.31,494.0,0.407
2023-10-16,Handysize,Australia,9.16,517.6,0.481
2023-10-17,Handysize,Australia,9.01,522.0,0.207
2023-10-18,Handysize,Australia,9.0,509.5,0.488
2023-10-19,Handysize,Australia,8.91,503.9,0.428
2023-10-20,Handysize,Australia,8.96,521.2,0.51
2023-10-21,Handysize,Australia,9.33,515.0,0.216
2023-10-22,Handysize,Australia,9.27,513.0,0.291
2023-10-23,Handysize,Australia,9.2,523.4,0.359
2023-10-24,Handysize,Australia,9.37,504.0,0.158
2023-10-25,Handysize,Australia,9.19,526.5,0.157
2023-10-26,Handysize,Australia,8.79,525.9,0.707
2023-10-27,Handysize,Australia,9.03,505.2,0.368
2023-10-28,Handysize,Australia,9.13,494.0,0.372
2023-10-29,Handysize,Australia,9.45,485.2,0.395
2023-10-30,Handysize,Australia,9.65,476.9,0.496
2023-10-31,Handysize,Australia,9.84,505.6,0.556
2023-11-01,Handysize,Australia,9.6,532.5,0.35
2023-11-02,Handysize,Australia,9.33,515.4,0.197
2023-11-03,Handysize,Australia,9.45,512.6,0.73
2023-11-04,Handysize,Australia,9.66,498.7,0.594
2023-11-05,Handysize,Australia,9.68,529.1,0.277
2023-11-06,Handysize,Australia,9.79,500.9,0.436
2023-11-07,Handysize,Australia,9.63,507.1,0.286
2023-11-08,Handysize,Australia,9.87,513.0,0.691
2023-11-09,Handysize,Australia,9.98,526.6,0.283
2023-11-10,Handysize,Australia,9.76,513.9,0.577
2023-11-11,Handysize,Australia,9.98,495.4,0.414
2023-11-12,Handysize,Australia,10.15,500.5,0.412
2023-11-13,Handysize,Australia,10.05,500.2,0.334
2023-11-14,Handysize,Australia,10.26,500.7,0.204
2023-11-15,Handysize,Australia,10.36,491.0,0.453
2023-11-16,Handysize,Australia,10.08,502.3,0.238
2023-11-17,Handysize,Australia,9.95,537.2,0.596
2023-11-18,Handysize,Australia,9.86,524.3,0.26
2023-11-19,Handysize,Australia,10.0,504.5,0.224
2023-11-20,Handysize,Australia,10.16,484.0,0.572
2023-11-21,Handysize,Australia,10.38,485.2,0.519
2023-11-22,Handysize,Australia,10.32,511.3,0.242
2023-11-23,Handysize,Australia,10.64,521.3,0.294
2023-11-24,Handysize,Australia,10.31,506.0,0.25
2023-11-25,Handysize,Australia,10.29,509.8,0.458
2023-11-26,Handysize,Australia,9.92,509.7,0.383
2023-11-27,Handysize,Australia,9.85,490.1,0.512
2023-11-28,Handysize,Australia,9.79,507.6,0.381
2023-11-29,Handysize,Australia,9.64,519.6,0.225
2023-11-30,Handysize,Australia,9.7,514.1,0.371
2023-12-01,Handysize,Australia,9.47,508.0,0.217
2023-12-02,Handysize,Australia,9.26,489.2,0.21
2023-12-03,Handysize,Australia,9.19,519.6,0.384
2023-12-04,Handysize,Australia,9.11,477.4,0.498
2023-12-05,Handysize,Australia,9.32,472.8,0.535
2023-12-06,Handysize,Australia,9.57,496.5,0.377
2023-12-07,Handysize,Australia,9.48,521.7,0.418
2023-12-08,Handysize,Australia,9.53,477.3,0.277
2023-12-09,Handysize,Australia,9.45,520.8,0.188
2023-12-10,Handysize,Australia,9.54,483.0,0.312
2023-12-11,Handysize,Australia,9.48,511.1,0.404
2023-12-12,Handysize,Australia,9.53,517.3,0.235
2023-12-13,Handysize,Australia,9.33,525.2,0.475
2023-12-14,Handysize,Australia,9.07,505.0,0.08
2023-12-15,Handysize,Australia,8.9,519.3,0.116
2023-12-16,Handysize,Australia,8.91,495.3,0.427
2023-12-17,Handysize,Australia,9.08,528.7,0.107
2023-12-18,Handysize,Australia,9.2,496.8,0.221
2023-12-19,Handysize,Australia,9.29,516.6,0.231
2023-12-20,Handysize,Australia,9.51,511.2,0.0
2023-12-21,Handysize,Australia,9.47,487.9,0.258
2023-12-22,Handysize,Australia,9.35,531.5,0.411
2023-12-23,Handysize,Australia,9.16,520.6,0.353
2023-12-24,Handysize,Australia,9.34,484.1,0.175
2023-12-25,Handysize,Australia,9.13,504.8,0.23
2023-12-26,Handysize,Australia,9.24,511.3,0.468
2023-12-27,Handysize,Australia,9.33,502.8,0.356
2023-12-28,Handysize,Australia,9.38,501.5,0.228
2023-12-29,Handysize,Australia,9.52,493.6,0.282
2023-12-30,Handysize,Australia,9.72,481.5,0.242
2023-12-31,Handysize,Australia,9.87,502.0,0.192
2024-01-01,Handysize,Australia,9.88,515.7,0.465
2024-01-02,Handysize,Australia,9.57,506.5,0.316
2024-01-03,Handysize,Australia,9.59,487.4,0.012
2024-01-04,Handysize,Australia,9.51,501.2,0.421
2024-01-05,Handysize,Australia,9.54,490.3,0.145
2024-01-06,Handysize,Australia,9.57,511.7,0.23
2024-01-07,Handysize,Australia,9.69,487.8,0.265
2024-01-08,Handysize,Australia,9.72,515.2,0.113
2024-01-09,Handysize,Australia,9.8,506.1,0.137
2024-01-10,Handysize,Australia,9.94,470.5,0.105
2024-01-11,Handysize,Australia,9.9,505.4,0.349
2024-01-12,Handysize,Australia,9.75,519.2,0.218
2024-01-13,Handysize,Australia,9.85,483.3,0.361
2024-01-14,Handysize,Australia,9.92,525.8,0.438
2024-01-15,Handysize,Australia,9.83,527.6,0.313
2024-01-16,Handysize,Australia,9.77,505.6,0.266
2024-01-17,Handysize,Australia,9.86,486.7,0.001
2024-01-18,Handysize,Australia,9.97,522.6,0.291
2024-01-19,Handysize,Australia,9.87,483.0,0.23
2024-01-20,Handysize,Australia,9.97,512.3,0.211
2024-01-21,Handysize,Australia,10.07,505.7,0.386
2024-01-22,Handysize,Australia,10.19,509.2,0.495
2024-01-23,Handysize,Australia,10.33,524.8,0.656
2024-01-24,Handysize,Australia,10.37,504.8,0.378
2024-01-25,Handysize,Australia,10.53,498.3,0.445
2024-01-26,Handysize,Australia,10.49,485.5,0.442
2024-01-27,Handysize,Australia,10.58,505.4,0.129
2024-01-28,Handysize,Australia,10.49,481.6,0.407
2024-01-29,Handysize,Australia,10.44,491.0,0.304
2024-01-30,Handysize,Australia,10.39,500.6,0.635
2024-01-31,Handysize,Australia,10.33,483.8,0.316
2024-02-01,Handysize,Australia,10.44,491.1,0.0
2024-02-02,Handysize,Australia,10.52,485.1,0.374
2024-02-03,Handysize,Australia,10.67,511.3,0.124
2024-02-04,Handysize,Australia,10.56,478.0,0.253
2024-02-05,Handysize,Australia,10.62,477.1,0.363
2024-02-06,Handysize,Australia,10.95,503.9,0.285
2024-02-07,Handysize,Australia,10.82,477.8,0.044
2024-02-08,Handysize,Australia,10.26,499.4,0.304
2024-02-09,Handysize,Australia,10.28,499.1,0.184
2024-02-10,Handysize,Australia,10.22,495.9,0.375
2024-02-11,Handysize,Australia,10.41,486.1,0.243
2024-02-12,Handysize,Australia,10.46,489.1,0.36
2024-02-13,Handysize,Australia,10.67,526.5,0.055
2024-02-14,Handysize,Australia,10.45,493.6,0.217
2024-02-15,Handysize,Australia,10.24,497.7,0.213
2024-02-16,Handysize,Australia,10.43,503.5,0.44
2024-02-17,Handysize,Australia,10.27,504.3,0.061
2024-02-18,Handysize,Australia,10.06,482.6,0.227
2024-02-19,Handysize,Australia,10.15,495.3,0.177
2024-02-20,Handysize,Australia,9.89,498.1,0.465
2024-02-21,Handysize,Australia,10.01,487.8,0.086
2024-02-22,Handysize,Australia,9.99,491.1,0.229
2024-02-23,Handysize,Australia,10.33,489.9,0.392
2024-02-24,Handysize,Australia,10.19,494.7,0.247
2024-02-25,Handysize,Australia,9.78,492.8,0.269
2024-02-26,Handysize,Australia,10.02,498.5,0.124
2024-02-27,Handysize,Australia,10.34,498.6,0.524
2024-02-28,Handysize,Australia,10.75,473.4,0.112
2024-02-29,Handysize,Australia,10.64,510.6,0.0
2024-03-01,Handysize,Australia,10.42,471.9,0.211
2024-03-02,Handysize,Australia,10.37,481.0,0.128
2024-03-03,Handysize,Australia,10.55,474.6,0.33
2024-03-04,Handysize,Australia,10.0,507.5,0.066
2024-03-05,Handysize,Australia,10.05,503.1,0.209
2024-03-06,Handysize,Australia,10.56,493.8,0.236
2024-03-07,Handysize,Australia,10.49,482.5,0.392
2024-03-08,Handysize,Australia,10.55,482.4,0.092
2024-03-09,Handysize,Australia,10.53,496.1,0.135
2024-03-10,Handysize,Australia,10.42,471.2,0.323
2024-03-11,Handysize,Australia,10.37,493.9,0.361
2024-03-12,Handysize,Australia,10.52,481.0,0.262
2024-03-13,Handysize,Australia,10.72,480.3,0.498
2024-03-14,Handysize,Australia,10.55,498.2,0.08
2024-03-15,Handysize,Australia,10.94,500.7,0.345
2024-03-16,Handysize,Australia,10.83,493.0,0.114
2024-03-17,Handysize,Australia,10.91,484.9,0.164
2024-03-18,Handysize,Australia,10.78,469.8,0.472
2024-03-19,Handysize,Australia,10.66,498.0,0.164
2024-03-20,Handysize,Australia,10.71,498.7,0.197
2024-03-21,Handysize,Australia,10.47,478.6,0.056
2024-03-22,Handysize,Australia,10.72,481.3,0.198
2024-03-23,Handysize,Australia,10.71,492.5,0.15
2024-03-24,Handysize,Australia,10.8,499.7,0.406
2024-03-25,Handysize,Australia,11.2,519.2,0.336
2024-03-26,Handysize,Australia,11.1,481.7,0.238
2024-03-27,Handysize,Australia,11.03,460.1,0.336
2024-03-28,Handysize,Australia,11.14,508.3,0.204
2024-03-29,Handysize,Australia,11.27,503.7,0.275
2024-03-30,Handysize,Australia,10.92,477.4,0.311
2024-03-31,Handysize,Australia,11.18,472.4,0.151
2024-04-01,Handysize,Australia,11.18,509.9,0.091
2024-04-02,Handysize,Australia,11.12,478.8,0.207
2024-04-03,Handysize,Australia,11.37,479.7,0.471
2024-04-04,Handysize,Australia,11.54,494.4,0.16
2024-04-05,Handysize,Australia,11.31,469.2,0.315
2024-04-06,Handysize,Australia,11.27,496.5,0.23
2024-04-07,Handysize,Australia,11.34,485.7,0.235
2024-04-08,Handysize,Australia,11.07,516.8,0.188
2024-04-09,Handysize,Australia,10.86,442.6,0.409
2024-04-10,Handysize,Australia,11.16,474.5,0.382
2024-04-11,Handysize,Australia,10.92,476.7,0.19
2024-04-12,Handysize,Australia,10.88,472.5,0.395
2024-04-13,Handysize,Australia,10.99,482.2,0.202
2024-04-14,Handysize,Australia,10.97,479.7,0.18
2024-04-15,Handysize,Australia,10.89,463.5,0.356
2024-04-16,Handysize,Australia,10.91,492.7,0.095
2024-04-17,Handysize,Australia,10.97,486.1,0.214
2024-04-18,Handysize,Australia,11.02,488.3,0.434
2024-04-19,Handysize,Australia,11.15,512.2,0.242
2024-04-20,Handysize,Australia,11.23,471.0,0.499
2024-04-21,Handysize,Australia,11.3,483.2,0.283
2024-04-22,Handysize,Australia,11.62,485.1,0.114
2024-04-23,Handysize,Australia,11.74,479.8,0.324
2024-04-24,Handysize,Australia,11.95,474.9,0.162
2024-04-25,Handysize,Australia,11.81,486.7,0.478
2024-04-26,Handysize,Australia,11.74,492.9,0.229
2024-04-27,Handysize,Australia,11.7,464.8,0.319
2024-04-28,Handysize,Australia,11.79,462.6,0.0
2024-04-29,Handysize,Australia,11.69,479.7,0.241
2024-04-30,Handysize,Australia,11.63,496.9,0.746
2024-05-01,Handysize,Australia,11.5,477.6,0.318
2024-05-02,Handysize,Australia,11.15,481.9,0.484
2024-05-03,Handysize,Australia,11.11,493.0,0.327
2024-05-04,Handysize,Australia,11.22,475.2,0.35
2024-05-05,Handysize,Australia,11.15,472.1,0.266
2024-05-06,Handysize,Australia,11.2,461.6,0.223
2024-05-07,Handysize,Australia,11.15,473.1,0.08
2024-05-08,Handysize,Australia,10.9,475.4,0.29
2024-05-09,Handysize,Australia,10.89,461.5,0.29
2024-05-10,Handysize,Australia,10.9,465.2,0.193
